ID,CAT,SCAT,TTL,DESC,NT,PL,CS,EW,SS,DS,TC,PM,EP,EO
35,Station unknown risk,Productivity and labour cost risks,Class 4,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly of labour costs in building block costs being reasonably accurate (+/-3%).,"No risk allowance is considered appropropriate for productivity and labour costs in the substation building block selected for the Project (this should be selected where there has been recent projects in Australia for the relevant project building block)
• The relevent project building block costs have been subject to recent benchmarking
• The forecast indexation is considered probable.",0.0,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0
36,Station unknown risk,Productivity and labour cost risks,Class 3,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly labour costs in building block costs being 3% to 5% too high.  This should not be used unless specific additional information supports this unkown risk selection. ,"Lower  risk allowance is considered appropropriate for productivity and labour costs in the substation building block selected for the Project (should only be selected if there is material indication that the following factors will lead to a lower building block cost)
• The relevent project building block cost is considered higher than actual
• The forecast indexation is producing costs higher than considered probable.",0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
37,Station unknown risk,Productivity and labour cost risks,Class 1/2,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly procurement costs in building block costs being 5% to 8% too high.  This should not be used unless specific additional information supports this unkown risk selection. ,"Lower  risk allowance is considered appropropriate for productivity and labour costs in the substation building block selected for the Project (should only be selected if there is material indication that the following factors will lead to a lower building block cost)
• The relevent project building block cost is considered higher than actual
• The forecast indexation is producing costs higher than considered probable.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Station unknown risk,Plant procurement cost risks,Class 5b,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly of procurement costs in building block costs being  5% to 10% too low. ,"Greater risk allowance is considered appropropriate for material and equipment costs in the substation building blocks selected for the Project (this should be selected where there is no recent projects in Australia related to the relevant project building block)
• The relevent project building block costs have not been subject to recent benchmarking
• The building block costs were based on limited available data comparisons
• the forecast indexation is considered to be lower than expected",0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Station unknown risk,Plant procurement cost risks,Class 5a,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly of procurement costs of procurement costs being  3% to 5% too low. ,"Greater risk allowance is considered appropropriate for material and equipment costs in the substation building block selected for the Project (this should be selected where there is some recent projects in Australia related to the relevant project building block)
• The relevent project building block costs have not been subject to recent benchmarking
• The building block costs were based on limited available data comparisons
• the forecast indexation is considered to be lower than expected",0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Station unknown risk,Plant procurement cost risks,Class 4 ,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly of procurement costs in building block costs being reasonably accurate (+/-3%).,"No risk allowance is considered appropropriate for material and equipment costs in the substation building block selected for the Project (this should be selected where there has been recent projects in Australia for the relevant project building block)
• The relevent project building block costs have been subject to recent benchmarking
• The forecast indexation is considered probable.",0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Station unknown risk,Plant procurement cost risks,Class 3,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly of procurement costs in building block costs being 3% to 5% too high.  This should not be used unless specific additional information supports this unkown risk selection. ,"Lower  risk allowance is considered appropropriate for material and equipment costs for the substation building block selected for the Project (should only be selected if there is material indication that the following factors will lead to a lower building block cost)
• The relevent project building block cost is considered higher than actual
• The forecast indexation is producing costs higher than considered probable.",0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Station unknown risk,Plant procurement cost risks,Class 1/2,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly labour costs in building block costs being 5% to 8% too high.  This should not be used unless specific additional information supports this unkown risk selection. ,"Lower  risk allowance is considered appropropriate for material and equipment costs for the substation building block selected for the Project (should only be selected if there is material indication that the following factors will lead to a lower building block cost)
• The relevent project building block cost is considered higher than actual
• The forecast indexation is producing costs higher than considered probable.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Station unknown risk,Project overhead risks,Class 5b,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen for project overheads based on the uncertaintly of the substation building block costs being  5% to 10% too low. ,"Greater risk allowance is considered appropropriate for project overhead costs for the substation building block selected for the Project (this should be selected where there is no recent projects in Australia related to the relevant project building block)
• The relevent project building block costs have not been subject to recent benchmarking (risk of project overheads higher)
• The building block costs were based on limited available data comparisons (risk of project overheads higher)
• the forecast indexation is producing project overheads lower than expected",0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.3
44,Station unknown risk,Project overhead risks,Class 5a,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen for project overheads based on the uncertaintly of the substation building block costs being  3% to 5% too low. ,"Greater risk allowance is considered appropropriate for project overhead costs for the substation building block selected for the Project (this should be selected where there is some recent projects in Australia related to the relevant project building block)
• The relevent project building block costs have not been subject to recent benchmarking (risk of project overheads higher)
• The building block costs were based on limited available data comparisons (risk of project overheads higher)
• the forecast indexation is producing project overheads lower than expected",0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.15
45,Station unknown risk,Project overhead risks,Class 4 ,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen for projectg overheads based on the substation building block costs being reasonably accurate (+/-3%).,"No risk allowance is considered appropropriate for project overhead costs related to the substation building block selected for the Project (this should be selected where there has been recent projects in Australia for the relevant project building block)
• The relevent project building block costs have been subject to recent benchmarking 
• The forecast indexation is producing probable project overheads for the forecasted project year.",0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.1
46,Station unknown risk,Project overhead risks,Class 3,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable. This unknown risk factor should be chosen for project overheads based on the substation building block costs being 3% to 5% too high.  This should not be used unless specific additional information supports this unkown risk selection. ,"Lower  risk allowance is considered appropropriate for project overhead costs related to the substation building block selected for the Project (should only be selected if there is material indication that the following factors will lead to a lower building block cost)
• The building block project overheads is considered higher than actual 
• The forecast indexation is likely to result in project overheads higher than considered probable for the forecasted project year.",0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05
47,Station unknown risk,Project overhead risks,Class 1/2,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable. This unknown risk factor should be chosen for project overhead based on the substation building block costs  being 5% to 8% too high.  This should not be used unless specific additional information supports this unkown risk selection. ,"Lower  risk allowance is considered appropropriate for project overhead costs related to the substation building block selected for the Project (should only be selected if there is material indication that the following factors will lead to a lower building block cost)
• The building block project overheads is considered higher than actual
• The forecast indexation is likely to result in p[roject overheads higher than considered probable for the forecasted project year.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Overhead line known risk,Macroeconomic influence,BAU,This known risk factor choice accounts for general social and economic condition. It costs more to deliver projects in restricted or uncertain economic and social environments.,"A stable political, economical and social situation across the supply chain of resoucres exist. Australia is a stable country and BAU is default in most cases.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Overhead line known risk,Macroeconomic influence,Increased uncertanity,This known risk factor choice accounts for general social and economic condition. It costs more to deliver projects in restricted or uncertain economic and social environments.,"Some/minor degree of political, economical and social restriction or uncertainty across the supply chain of resources exist. For e.g. commodity price and wage indices growth rate and forex expected to be above historical trend.",0.02,0.008,0.008,0.0,0.008,0.008,0.008,0.0,0.0
50,Overhead line known risk,Macroeconomic influence,Heightened uncertanity,This known risk factor choice accounts for general social and economic condition. It costs more to deliver projects in restricted or uncertain economic and social environments.,"Heightened degree of political, economical and social restriction or uncertainty across the supply chain of resoucres exist. For e.g. commodity price and wage indices growth rate and forex expected to be much higher than historical trend.",0.03,0.012,0.012,0.0,0.012,0.012,0.012,0.0,0.0
51,Overhead line known risk,Market activity,Excess capacity,This known risk factor choice accounts for general market condition. It costs more to deliver project with restricted supply and unavailability of resources ,In this choice the supply of the resoucres exceed the demand in the market and hence the competition lowers the cost estimate,-0.025,-0.025,-0.025,0.0,-0.025,-0.025,-0.025,0.0,0.0
52,Overhead line known risk,Market activity,BAU,This known risk factor choice accounts for general market condition. It costs more to deliver project with restricted supply and unavailability of resources ,In this choice the supply matches the demand for the resoucres and the building block cost estimate already incorporates this BAU scenario. No adjustment is made,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Overhead line known risk,Market activity,Tight,This known risk factor choice accounts for general market condition. It costs more to deliver project with restricted supply and unavailability of resources ,In this choice the demand for the resources exceed the supply in the market and hence the need pushes up the cost estimate,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.0
54,Overhead line known risk,Project complexity,BAU,This known risk factor choice assigns appropriate cost depending on available knowledge for the given nature of the project,This choice represents the existence of the organisational knowledge and confidence level to deliver the given project,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Overhead line known risk,Project complexity,Partly complex,This known risk factor choice assigns appropriate cost depending on available knowledge for the given nature of the project,"This choice represents limited existence of the organisational knowledge and the some additional need and time to develop, study and design the project delivery. Industry wide such knowledge and experience is available. Very few Australian project precedent in recent history",0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.0
56,Overhead line known risk,Project complexity,Highly complex,This known risk factor choice assigns appropriate cost depending on available knowledge for the given nature of the project,"This choice represents non-existence of the organisational knowledge and the additional need and time to develop, study and design the project delivery. Industry wide such knowledge and experience is also very rare. No Australian project precedent in recent history",0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.0,0.0
57,Overhead line known risk,Compulsory acquisition,Low,"This known risk factor assigns appropriate cost depending on the type of easement acquisition needed. The cost of acquiring easement is influenced by how early the easement could be acquired before the in-service date. This is best categorised as Low, Expected Historically or High. For greenfield work it is expected that the project proponent will avoid this risk factor by considering prudent/alternate routes",This choice lowers the expected easement/property cost estimate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
58,Overhead line known risk,Compulsory acquisition,BAU,"This known risk factor assigns appropriate cost depending on the type of easement acquisition needed. The cost of acquiring easement is influenced by how early the easement could be acquired before the in-service date. This is best categorised as Low, Expected Historically or High. For greenfield work it is expected that the project proponent will avoid this risk factor by considering prudent/alternate routes",The building block estimate incorporates historical project experiences (i.e. BAU) and as such this choice does not adjust the already made easement/property cost estimate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Overhead line known risk,Compulsory acquisition,High,"This known risk factor assigns appropriate cost depending on the type of easement acquisition needed. The cost of acquiring easement is influenced by how early the easement could be acquired before the in-service date. This is best categorised as Low, Expected Historically or High. For greenfield work it is expected that the project proponent will avoid this risk factor by considering prudent/alternate routes",This choice increase the expected easement/property cost estimate. A strong justification is needed if a greenfield site has 'high' compulsory acquisition risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
60,Overhead line known risk,Environmental offset risks,Low,This known risk factor choice assigns appropriate cost depending on the nature of property/easement requirement. For greenfield work it is expected that the project proponent will not choose route with high environmental offset risks. Such factors should be mitigated by considering prudent/alternate route options,"This choice adjust the already made environmental offset cost estimate in the building blocks by some degree comparable with the site. This is to compensate for unavoidable impacts on significant environmental matters (e.g. valuable species and ecosystems) on one site, by securing or paying for land at another site, and for managing that land over a period of time, to replace those significant environmental matters which were lost. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
61,Overhead line known risk,Environmental offset risks,BAU,This known risk factor choice assigns appropriate cost depending on the nature of property/easement requirement. For greenfield work it is expected that the project proponent will not choose route with high environmental offset risks. Such factors should be mitigated by considering prudent/alternate route options,"This choice adjust the already made environmental offset cost estimate in the building blocks. This is to compensate for unavoidable impacts on significant environmental matters (e.g. valuable species and ecosystems) on one site, by securing or paying for land at another site, and for managing that land over a period of time, to replace those significant environmental matters which were lost.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
62,Overhead line known risk,Environmental offset risks,High,This known risk factor choice assigns appropriate cost depending on the nature of property/easement requirement. For greenfield work it is expected that the project proponent will not choose route with high environmental offset risks. Such factors should be mitigated by considering prudent/alternate route options,"This choice adjust the already made environmental offset cost estimate in the building blocks corresponding with a high risk. This is to compensate for unavoidable impacts on significant environmental matters (e.g. valuable species and ecosystems) on one site, by securing or paying for land at another site, and for managing that land over a period of time, to replace those significant environmental matters which were lost. However, if this is a greenfield site and this factor is deemed 'high', this choice needs to be supported by a strong justification.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
